event_id,market_id,close_time,resolved,yes_bid,yes_ask,venue,has_executable_quotes,probability,spread,no_ask,yes_edge,no_edge,side,estimated_edge,pass_reason,pnl,cumulative_pnl
event-00035,market-00035,2022-04-11 00:00:00+00:00,1,0.7278766029162363,0.7771643118040709,synthetic,True,0.0009398541172078864,0.049287708887834514,0.27212339708376365,-0.786224457686863,0.7169367487990285,NO,0.7169367487990285,,-0.28212339708376366,-0.28212339708376366
event-00065,market-00065,2022-06-10 00:00:00+00:00,1,0.5541828666579344,0.5959304568817815,synthetic,True,0.001691485858902887,0.04174759022384711,0.44581713334206563,-0.6042389710228786,0.5424913807990315,NO,0.5424913807990315,,-0.45581713334206564,-0.7379405304258293
event-00066,market-00066,2022-06-12 00:00:00+00:00,0,0.49604136051287145,0.53565748729647,synthetic,True,0.8340844619743069,0.03961612678359855,0.5039586394871285,0.28842697467783684,-0.34804310146143536,YES,0.28842697467783684,,-0.54565748729647,-1.2835980177222992
event-00067,market-00067,2022-06-14 00:00:00+00:00,0,0.5352582400424928,0.5673521058549973,synthetic,True,0.04195764300813863,0.03209386581250451,0.4647417599575072,-0.5353944628468587,0.48330059703435413,NO,0.48330059703435413,,0.5252582400424928,-0.7583397776798064
event-00068,market-00068,2022-06-16 00:00:00+00:00,1,0.24750544182900713,0.2897792746729071,synthetic,True,0.003056472144349328,0.04227383284389996,0.7524945581709929,-0.29672280252855776,0.23444896968465778,NO,0.23444896968465778,,-0.7624945581709929,-1.5208343358507994
event-00069,market-00069,2022-06-18 00:00:00+00:00,0,0.18915970938564447,0.2331231443167312,synthetic,True,0.005929998539431536,0.04396343493108673,0.8108402906143555,-0.23719314577729966,0.17322971084621297,NO,0.17322971084621297,,0.17915970938564452,-1.341674626465155
event-00035,market-00070,2022-06-20 00:00:00+00:00,0,0.6648714177715203,0.7144022094144493,synthetic,True,1e-05,0.04953079164292906,0.33512858222847974,-0.7243922094144494,0.6548614177715203,NO,0.6548614177715203,,0.6548714177715202,-0.6868032086936346
event-00035,market-00071,2022-06-22 00:00:00+00:00,1,0.5728855042728247,0.5994180978058381,synthetic,True,0.0012099946166358102,0.026532593533013404,0.4271144957271753,-0.6082081031892023,0.5616755096561888,NO,0.5616755096561888,,-0.4371144957271753,-1.12391770442081
event-00072,market-00072,2022-06-24 00:00:00+00:00,1,0.2242511920441804,0.2528369306842316,synthetic,True,6.305797596832012e-05,0.028585738640051178,0.7757488079558196,-0.26277387270826325,0.21418813406821213,NO,0.21418813406821213,,-0.7857488079558196,-1.9096665123766297
event-00073,market-00073,2022-06-26 00:00:00+00:00,0,0.15058876952003689,0.1843167593067763,synthetic,True,0.003124337295051467,0.03372798978673941,0.8494112304799631,-0.19119242201172484,0.1374644322249854,NO,0.1374644322249854,,0.14058876952003685,-1.769077742856593
event-00074,market-00074,2022-06-28 00:00:00+00:00,1,0.6913905128377089,0.72081238238992,synthetic,True,2.562667123373226e-05,0.029421869552211044,0.3086094871622911,-0.7307867557186862,0.6813648861664752,NO,0.6813648861664752,,-0.3186094871622911,-2.087687230018884
event-00075,market-00075,2022-06-30 00:00:00+00:00,0,0.4924844878992312,0.5477122109543925,synthetic,True,0.19524868893811376,0.05522772305516127,0.5075155121007688,-0.36246352201627874,0.2872357989611174,NO,0.2872357989611174,,0.48248448789923115,-1.6052027421196526
event-00076,market-00076,2022-07-02 00:00:00+00:00,1,0.3856563263580084,0.43324009237656513,synthetic,True,0.9738893257693542,0.04758376601855674,0.6143436736419916,0.530649233392789,-0.5982329994113458,YES,0.530649233392789,,0.5567599076234349,-1.0484428344962178
event-00077,market-00077,2022-07-04 00:00:00+00:00,0,0.5588103957385775,0.5926272937214996,synthetic,True,0.5586513810091822,0.03381689798292209,0.4411896042614225,-0.04397591271231737,-0.009840985270604721,PASS,-0.009840985270604721,edge,0.0,-1.0484428344962178
event-00078,market-00078,2022-07-06 00:00:00+00:00,1,0.4532413613676386,0.5193214294820638,synthetic,True,0.9995499375578022,0.06608006811442524,0.5467586386323614,0.47022850807573835,-0.5563085761901636,YES,0.47022850807573835,,0.47067857051793616,-0.5777642639782816
event-00079,market-00079,2022-07-08 00:00:00+00:00,1,0.6766003186943913,0.7008490359720688,synthetic,True,0.022701515400957502,0.024248717277677523,0.3233996813056087,-0.6881475205711113,0.6438988032934337,NO,0.6438988032934337,,-0.3333996813056087,-0.9111639452838903
